Product name,Amazon,Shopclues,flipkart,snapdeal,ebay,original price
"Lenovo IdeaPad 310-15ISK 80SM01EVIH 15.6-inch Laptop (Core i3-6006U/4GB/1TB/DOS/Integrated Graphics), Ebony Black",27400,27999,28999,28999,30490,35000
"Acer E1 APU Dual Core E1 7th Gen - (4 GB/1 TB HDD/Linux) ASpire Laptop(15.6 inch, Black, 2.4 kg)",24499,26999,18899,22199,18000,23999
Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 (Core i5/8GB/128GB/MacOS Sierra/Integrated Graphics),54490,53390,54490,61500,57500,64999
FUJITSU LIFEBOOK A555 CORE i3 5005U 5TH GEN/4GB/1 TB/15.6/DOS/NO BAG/BLACK,26700,20899,27800,21499,25980,28999
"HP 15q-BU004TU 2017 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Free DOS/Integrated Graphics), Grey",26990,27590,29990,29999,28400,35999
"Acer Aspire 3 A315-51-356P UN.GNPSI.001 15.6-inch Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Obsidian Black",25990,27999,22990,29000,24999,31999
"Micromax Canvas Lapbook L1161 11.6-inch Laptop (Intel Atom/2GB/32GB/Windows 10), Black",9200,11999,9790,9900,10500,12999
"Lava Helium 12 (Intel Cherry-trail Quad-core, Z8350 with speed up to 1.88 GHz, 2GB, 32GB, 12.5"" HD, Windows 10 (Gold)",12999,12999,12999,12900,12900,13999
Asus Vivo Book E12 E203NAH-FD010T Intel Dual-Core Celeron /2 GB/ Windows 10 /11.6 HD Glare,19196,18490,18999,19000,17999,24999
HP 15-BW098AU LAPTOP (AMD E2 9000e/ 4GB/ 1TB/ 15.6/ DVD-RW/ DOS/ BLACK),20480,22288,22965,21898,22255,25999
Dell Inspirion 5567 - Intel Core i7 (7th Gen) / 16gb Ram / 1tb Hdd / 4gb Graphics / Win10 / 15.6 FHD TouchScreen,53999,58500,53900,34212,58499,61599
"DELL INSPIRON 3567. CORE I5 7TH GEN.16GB RAM. 1 TB HDD. 15.6"" SCREEN. WINDOWS 10",29490,33499,29990,31499,48998,35999
Fastrack Quartz Men Watch 3099SP06,1795,1720,1899,1879,2095,2150
Reebok Men's Multicolor Running Shoes,2309,1039,2759,2499,1645,2899
"Hyundai 7.2 kg Semi-Automatic Top Loading Washing Machine (HYS72F, Luminous Blue)",9790,9990,7299,9500,9990,9990
"Whirlpool 6 kg Semi-Automatic Top Loading Washing Machine (Superb Atom 60I, Tulip Pink)",8690,8599,8690,9170,9250,9990
"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24168IN, Silver)",27998,35400,27999,29900,27999,35999
"LG 6.2 kg Fully-Automatic Top Loading Washing Machine (T7269NDDLH, Middle Free Silver)",16999,11340,14799,17480,10999,19690
"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65M4100HV/TL, Sparkling Grey)",15999,23590,18490,19000,18999,18990
"LG 215 L 2 Star Direct-Cool Single Door Refrigerator (GL-B221ASLV.DSLZEBN, Scarlet Lily)",14990,20790,15990,18500,19900,18440
"IFB 8 kg Fully-Automatic Front Loading Washing Machine (Senator Aqua SX, Silver)",33890,36000,33899,34690,33925,39790
"IFB 6.5 kg Fully-Automatic Front Loading Washing Machine (Senorita Aqua SX , Silver)",30280,30700,30299,31495,33273,35990
"Whirlpool 340 L 3 Star Frost-Free Double Door Refrigerator (IF 355 ELT ALPHA STEEL(3S), Alpha Steel)",30990,30990,30990,30999,30990,36225
"Samsung 415 L 4 Star Frost-free Double Door Refrigerator (RT42M553ES8/TL, Elegant Inox,5 in 1 Convertible,Inverter Compressor)",45990,53099,45990,44500,45999,59500
"Haier HRF 618 SS Frost-free Side-by-Side Refrigerator (565 Ltrs, Grey)",50980,54990,50990,51999,53599,65000
JBL C100SI In-Ear Headphones with Mic (Black),699,499,499,995,699,1299
Sennheiser CX 180 Street II In-Ear Headphone (Black),699,599,699,789,689,990
JBL C300SI On-Ear Dynamic Wired Headphones (Black),988,749,1149,799,1499,2999
Sennheiser HD 180 Over-Ear Headphones (Black),699,599,699,900,1190,1190
Philips SHE1360/97 In-Ear Headphones (Black),145,400,195,159,119,239
